quantity,denomination,ingredient
1,*,eggplant
2,*,zucchini
2,*,yellow squash
6,tbsp,olive oil
1,pint,cherry tomato
*,*,kosher salt
*,*,freshly grounded black pepper
1,*,yellow onion
3,*,garlic clove
1,can,crushed tomato
1,cup,panko bread crumbs
0.25,cup,fresh basil leaf
0.25,fresh flat-leaf parsley leaf
0.5,*,lemon
