quantity,denomination,ingredient
2,cup,monterey jack cheese
8,ounce,cream cheese
2,*,scallion
18,*,egg
0.5,cup,parmesan cheese
0.25,cup,fresh chive
0.25,cup,fresh flat-leaf parsley
2,tsp,kosher salt
1,tsp,freshly ground black pepper
4,tbsp,unsalted butter
1,cup,cremini or button mushroom
1,*,yellow onion
6,*,fresh basil leaf
