quantity,denomination,ingredient
4,lbs,chicken wing (flats and drumettes)
1,tbsp,baking powder
*,*,kosher salt
*,*,freshly ground black pepper
0.5,cup,blue cheese (crumbled)
0.5,cup,sour cream
0.25,cup,mayonnaise
1,tbsp,buttermilk
1,tbsp,lemon juice
0.5,cup,unsalted butter
0.5,cup,mild hot sauce
*,*,celery
*,*,carrot
