quantity,denomination,ingredient
0.33,cup,fish stock or dashi
2,tsp,sugar
1,tsp,sake
1,tsp,mirin
4,*,egg
*,*,kosher salt
*,*,vegetable oil
*,*,shiso leaf
*,*,japanese radish
*,*,soy sauce
