quantity,denomination,ingredient
2,*,"chicken thigh (bone-in, skin-on)"
*,*,kosher salt
*,*,freshly ground black pepper
1,tsp,thyme leaf
1,tsp,rosemary leaf
2,tbsp,vegetable oil
1,*,yellow onion
5,*,lemon slice
