quantity,denomination,ingredient
2,tsp,toasted sesame oil
2,ounce,firm tofu
2,tbsp,vegetable oil,
0.50,cup,cremini mushroom
1,*,garlic clove
2,ounce,baby spinach leaf
1,cup,sushi rice
1,*,egg
3,tbsp,fresh mung bean sprout
2,*,radish
3,tbsp,carrot
0.5,tsp,toasted sesame seed
*,*,gochujang
