quantity,denomination,ingredient
0.75,cup,vegetable oil
1,tbsp,whole black peppercorn
2,tsp,fennel seed
4,*,green cardamom pod
4,*,whole clove
1,*,bay leaf
1,*,cinnamon stick
3,*,yellow onion
4,*,garlic clove
1,*,ginger (2-inch)
6,*,"chicken thigh (bone-in, skin-on)"
*,*,kosher salt
*,*,freshly ground black pepper
2,tsp,ground turmeric
2,tsp,sweet paprika
2,*,green serrano chile
1.5,cup,full-fat plain yogurt
*,*,white rice
*,*,fresh cilantro leaf
