quantity,denomination,ingredient
16,ounce,crescent roll dough
1,cup,shredded low-moisture mozzarella cheese
0.5,cup,sliced pepperoncini
0.25,cup,packed fresh basil leaf
6,ounce,deli-style sliced salami
6,ounce,deli-style sliced ham
4,ounce,sliced prosciutto
8,*,deli-style provolone cheese (slices)
*,*,kosher salt
*,*,freshly ground black pepper
*,*,olive oil
*,*,balsamic vinegar
