quantity,denomination,ingredient
2,*,"chicken breast (boneless, skinless)"
0.5,tsp,onion powder
*,*,kosher salt
*,*,freshly ground black pepper
1,cup,all-purpose flour
2,*,egg
1,cup,bread crumb
*,*,vegetable oil
2,cup,marinara sauce
8,ounce,mozzarella cheese (slices)
0.5,cup,parmesan cheese (grated)
*,*,fresh basil leaf
