quantity,denomination,ingredient
1,*,cuban or hoagie roll
2,*,rost pork (3 ounce slices)
1,tbsp,yellow mustard
3,*,deli-style ham (slices)
6,*,dill pickle chip
3,*,swiss or provolone cheese (slices)
2,tbsp,mayonnaise
