quantity,denomination,ingredient
8.5,lbs,"pork shoulder (bone-in, skin-on)"
24,*,garlic clove
2,tbsp,kosher salt
0.5,cup,olive oil
0.25,cup,lightly packed fresh oregano leaf
1,tbsp,finely chopped oregano leaf
1,tbsp,ground cumin
2,*,lime
2,*,orange
2,cup,lime juice
1.5,cup,orange juice
