quantity,denomination,ingredient
3,tbsp,olive oil
1,tbsp,achiote paste
2,tsp,dried oregano
2,tsp,ground coriander
2,tsp,sweet paprika
0.5,tsp,cayenne
2,*,garlic clove
4,*,"red snapper fillets (8-ounce, skin-on)"
*,*,kosher salt
*,*,freshly ground black pepper
*,*,lime
