quantity,denomination,ingredient
8,*,"chicken thigh(bone-in, skin-on)"
8,*,"drumstick (bone-in, skin-on)"
3,tbsp,freshly ground black pepper
2,tbsp,kosher salt
3,cup,buttermilk
3,cup,all-purpose flour
*,*,vegetable oil
