quantity,denomination,ingredient
0.25,cup,fresh parsley leaf
4,*,plum tomato
3,*,avocados
1,*,cucumber
0.5,*,red onion
1,can,chickpea
0.33,cup,lemon juice
3,tbsp,extra-virgin olive oil
*,*,kosher salt
*,*,freshly ground black pepper
2,cup,full-fat plain greek yogurt
*,*,pita chips
