quantity,denomination,ingredient
2,cup,frisee lettuce
1,tbsp,olive oil
1,tbsp,red wine vinegar
*,*,kosher salt
*,*,freshly ground black pepper
2,*,egg
*,*,bacon
*,*,sourdough bread
